lang_code,id,location_code,holiday_date,holiday_name,holiday_desc,is_active
eng,2000311,KTA,8/21/2019,Youth Day,National Holiday,TRUE
fra,2000312,KTA,8/21/2019,Journée de la jeunesse,Fête nationale,TRUE
ara,2000313,KTA,8/24/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000314,KTA,8/24/2019,Saturday - Weekend,Weekend,TRUE
fra,2000315,KTA,8/24/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000316,RBT,8/24/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000317,RBT,8/24/2019,Saturday - Weekend,Weekend,TRUE
fra,2000318,RBT,8/24/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000319,KTA,8/25/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000320,KTA,8/25/2019,Sunday - Weekend,Weekend,TRUE
fra,2000321,KTA,8/25/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000322,RBT,8/25/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000323,RBT,8/25/2019,Sunday - Weekend,Weekend,TRUE
fra,2000324,RBT,8/25/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000325,KTA,8/3/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000326,KTA,8/3/2019,Saturday - Weekend,Weekend,TRUE
fra,2000327,KTA,8/3/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000328,RBT,8/3/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000329,RBT,8/3/2019,Saturday - Weekend,Weekend,TRUE
fra,2000330,RBT,8/3/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000331,KTA,8/31/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000332,KTA,8/31/2019,Saturday - Weekend,Weekend,TRUE
fra,2000333,KTA,8/31/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000334,RBT,8/31/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000335,RBT,8/31/2019,Saturday - Weekend,Weekend,TRUE
fra,2000336,RBT,8/31/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000337,KTA,8/4/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000338,KTA,8/4/2019,Sunday - Weekend,Weekend,TRUE
fra,2000339,KTA,8/4/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000340,RBT,8/4/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000341,RBT,8/4/2019,Sunday - Weekend,Weekend,TRUE
fra,2000342,RBT,8/4/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000343,KTA,9/1/2019,رأس السنة الهجرية,عيد وطني,TRUE
eng,2000344,KTA,9/1/2019,Hijra New Year,National Holiday,TRUE
fra,2000345,KTA,9/1/2019,Hégire nouvel an,Fête nationale,TRUE
ara,2000346,RBT,9/1/2019,رأس السنة الهجرية,عيد وطني,TRUE
eng,2000347,RBT,9/1/2019,Hijra New Year,National Holiday,TRUE
fra,2000348,RBT,9/1/2019,Hégire nouvel an,Fête nationale,TRUE
ara,2000349,KTA,9/14/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000350,KTA,9/14/2019,Saturday - Weekend,Weekend,TRUE
fra,2000351,KTA,9/14/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000352,RBT,9/14/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000353,RBT,9/14/2019,Saturday - Weekend,Weekend,TRUE
fra,2000354,RBT,9/14/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000355,KTA,9/15/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000356,KTA,9/15/2019,Sunday - Weekend,Weekend,TRUE
fra,2000357,KTA,9/15/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000358,RBT,9/15/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000359,RBT,9/15/2019,Sunday - Weekend,Weekend,TRUE
fra,2000360,RBT,9/15/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000361,KTA,9/21/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000362,KTA,9/21/2019,Saturday - Weekend,Weekend,TRUE
fra,2000363,KTA,9/21/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000364,RBT,9/21/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000365,RBT,9/21/2019,Saturday - Weekend,Weekend,TRUE
fra,2000366,RBT,9/21/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000367,KTA,9/22/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000368,KTA,9/22/2019,Sunday - Weekend,Weekend,TRUE
fra,2000369,KTA,9/22/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000370,RBT,9/22/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000371,RBT,9/22/2019,Sunday - Weekend,Weekend,TRUE
fra,2000372,RBT,9/22/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000373,KTA,9/28/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000374,KTA,9/28/2019,Saturday - Weekend,Weekend,TRUE
fra,2000375,KTA,9/28/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000376,RBT,9/28/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000377,RBT,9/28/2019,Saturday - Weekend,Weekend,TRUE
fra,2000378,RBT,9/28/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000379,KTA,9/29/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000380,KTA,9/29/2019,Sunday - Weekend,Weekend,TRUE
fra,2000381,KTA,9/29/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000382,RBT,9/29/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000383,RBT,9/29/2019,Sunday - Weekend,Weekend,TRUE
fra,2000384,RBT,9/29/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000385,KTA,9/7/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000386,KTA,9/7/2019,Saturday - Weekend,Weekend,TRUE
fra,2000387,KTA,9/7/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000388,RBT,9/7/2019,السبت - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000389,RBT,9/7/2019,Saturday - Weekend,Weekend,TRUE
fra,2000390,RBT,9/7/2019,Samedi - fin de semaine,Weekend,TRUE
ara,2000391,KTA,9/8/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000392,KTA,9/8/2019,Sunday - Weekend,Weekend,TRUE
fra,2000393,KTA,9/8/2019,Dimanche - fin de semaine,Weekend,TRUE
ara,2000394,RBT,9/8/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,TRUE
eng,2000395,RBT,9/8/2019,Sunday - Weekend,Weekend,TRUE
fra,2000396,RBT,9/8/2019,Dimanche - fin de semaine,Weekend,TRUE
